Age,1-2 times/week,3-4 times/week,5+ times/week,None,Grand Total
18,1,,,,1
19,,1,,,1
20,2,1,,,3
21,1,,,,1
22,2,,1,4,7
23,3,2,3,3,11
24,3,1,1,1,6
25,5,1,1,2,9
26,2,1,5,1,9
27,4,2,2,3,11
28,5,3,7,,15
29,7,4,10,2,23
30,7,5,5,2,19
31,3,5,7,2,17
32,1,4,7,2,14
33,6,2,4,4,16
34,6,2,4,6,18
35,5,7,5,6,23
36,8,4,5,6,23
37,6,2,1,1,10
38,3,6,3,2,14
39,6,7,3,2,18
40,3,5,6,3,17
41,3,6,5,2,16
42,3,3,2,2,10
43,3,2,4,4,13
44,2,5,2,3,12
45,1,2,2,1,6
46,3,,2,1,6
47,3,1,4,,8
48,2,,5,3,10
49,4,2,1,1,8
50,3,3,6,,12
51,2,2,,,4
52,5,4,3,,12
53,2,4,2,1,9
54,3,2,7,1,13
55,1,5,3,2,11
56,1,3,4,2,10
57,2,,2,5,9
58,1,1,6,,8
59,3,2,2,1,8
60,1,3,5,,9
61,1,2,6,1,10
62,2,1,4,2,9
63,,3,2,1,6
64,1,1,4,1,7
65,1,,3,,4
66,1,,2,1,4
67,,,,1,1
68,1,,3,,4
69,1,,2,,3
70,,,3,2,5
71,1,3,2,,6
72,,,1,1,2
73,1,1,1,1,4
74,,2,,,2
75,,,5,1,6
76,,,2,,2
78,1,,1,,2
79,1,,1,,2
80,1,,,,1
89,,,,1,1
91,,1,,,1
Grand Total,150,129,189,94,562
