Age,1-2 times/week,3-4 times/week,5+ times/week,None,Grand Total
18,,1,,,1
19,1,,,,1
20,1,1,1,,3
21,1,0,,,1
22,1,4,1,1,7
23,4,4,2,1,11
24,3,1,2,,6
25,3,3,2,1,9
26,2,4,,3,9
27,3,3,5,,11
28,4,4,6,1,15
29,10,5,5,3,23
30,5,7,4,3,19
31,8,4,1,4,17
32,6,4,2,2,14
33,6,7,2,1,16
34,6,6,1,5,18
35,13,3,2,5,23
36,14,4,2,3,23
37,3,1,1,5,10
38,1,6,3,4,14
39,2,7,4,5,18
40,7,8,1,1,17
41,6,6,2,2,16
42,5,3,2,,10
43,4,6,3,,13
44,5,4,2,1,12
45,1,1,,4,6
46,2,2,2,,6
47,1,4,3,,8
48,4,2,1,3,10
49,1,3,2,2,8
50,3,4,2,3,12
51,1,,,3,4
52,4,3,4,1,12
53,3,5,,1,9
54,2,4,6,1,13
55,6,3,2,,11
56,2,6,1,1,10
57,3,1,5,,9
58,2,2,4,,8
59,3,2,3,,8
60,,3,6,,9
61,,3,6,1,10
62,2,3,2,2,9
63,1,2,2,1,6
64,1,1,3,2,7
65,,1,1,2,4
66,2,1,1,,4
67,,,1,,1
68,,1,3,,4
69,,1,2,,3
70,1,,2,2,5
71,3,1,2,,6
72,1,,,1,2
73,,2,1,1,4
74,,1,1,,2
75,,2,4,,6
76,,,,2,2
78,,2,,,2
79,1,,1,,2
80,1,,,,1
89,1,,,,1
91,,,1,,1
Grand Total,176,172,130,84,562
