,Date,HHState,Zipcode,Sex,Age,HHsize,Kids,Auto_own,Married,Educ,HType,Worker,commute_before,commute_after,Transmode_before,Change_trans_mode,Transmode_after,Commute_min,PhyAc_Before,Exe_Before,PhyAc_After,Exe_After,Groc_Shp,Outside_Ac,Outside_Purp,ONL_SHP,ONL_SHP_AFTR
0,5/26/2020,CO,80403,Male,35,3.0,1.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,15.0,30-60 min,3-4 times/week,5+ times/week,30+ min/1-3days/wk,3 times/Mth,3+,,No,Not Applicable
1,5/27/2020,MI,48189,Female,54,2.0,1.0,2.0,-8,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home with increased workload,Auto/driving,No,NA/Teleworked,60.0,30-60 min,5+ times/week,5+ times/week,30+ min/1-3days/wk,3 times/Mth,3+,I go to hiking at a state park at least 3 times a week.  I also check on a 90 year old women with no family in the area 5 days a week.,No,Not Applicable
2,5/8/2020,CA,92127,Female,35,5.0,3.0,3.0,Married,3,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,Auto/driving,15.0,30-60 min,3-4 times/week,1-2 times/week,30+ min/1-3days/wk,3 times/Mth,None,,No,Not Applicable
3,5/17/2020,MD,21210,Female,57,3.0,1.0,2.0,Divorced/Seperated,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,60.0,60+ min,5+ times/week,1-2 times/week,30+ min/1-3days/wk,3 times/Mth,None,,No,Not Applicable
4,5/8/2020,MD,20781,Female,24,3.0,0.0,3.0,Single,3,Condo/Townhouse,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Other,NA,Rideshare (including Uber and Lift),20.0,15-30 min,1-2 times/week,3-4 times/week,30+ min/1-3days/wk,3 times/Mth,None,,No,No
5,5/13/2020,PA,18018,Female,32,3.0,0.0,3.0,Single,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,10.0,30-60 min,5+ times/week,5+ times/week,30+ min/1-3days/wk,3 times/Mth,None,,Yes,Maybe
6,6/26/2020,MD,21773,Female,43,5.0,3.0,1.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,65.0,30-60 min,3-4 times/week,None,30+ min/1-3days/wk,3 times/Mth,None,,No,Not Applicable
7,5/26/2020,NV,89523,Female,42,4.0,2.0,2.0,Married,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,20.0,15-30 min,3-4 times/week,1-2 times/week,30+ min/1-3days/wk,4+ times/Mth,3+,To visit my mother,No,Not Applicable
8,5/20/2020,NC,27513,Female,58,3.0,0.0,2.0,Married,3,Single-Family House,Unemployed,-8,Stayed at home and not able to work,-8,NA,NA/Teleworked,0.0,60+ min,3-4 times/week,1-2 times/week,30+ min/1-3days/wk,4+ times/Mth,3+,"Get automobile inspected, visit friends on front lawns",Yes,No
9,5/26/2020,MS,39759,Male,53,5.0,0.0,7.0,Married,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,-8,Auto/Passenger,No,NA/Teleworked,15.0,15-30 min,None,1-2 times/week,30+ min/1-3days/wk,4+ times/Mth,3+,"medical visits, work, church, grocery shopping",Yes,Maybe
10,5/16/2020,NJ,8648,Female,19,4.0,1.0,4.0,Single,3,Single-Family House,Unemployed,-8,-8,-8,NA,NA/Teleworked,0.0,30-60 min,1-2 times/week,3-4 times/week,30+ min/1-3days/wk,4+ times/Mth,3+,Socially distanced gatherings with a friend,No,Not Applicable
11,5/27/2020,MD,20817,Female,31,2.0,0.0,1.0,Married,4,Apartment,Employed Full Time,Commute Everyday,Stayed at home and not able to work,Auto/driving,NA,NA/Teleworked,10.0,60+ min,1-2 times/week,3-4 times/week,30+ min/1-3days/wk,4+ times/Mth,3+,To visit old parents ,No,Not Applicable
12,5/27/2020,NJ,7105,Male,41,1.0,0.0,0.0,Single,4,Apartment,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Public Transit,NA,NA/Teleworked,75.0,60+ min,5+ times/week,3-4 times/week,30+ min/1-3days/wk,4+ times/Mth,3+,Go to the park to read,Yes,Yes
13,5/26/2020,OR,97223,Female,51,3.0,1.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/Passenger,NA,NA/Teleworked,60.0,0-15 min,None,3-4 times/week,30+ min/1-3days/wk,4+ times/Mth,3+,I now run a food pantry at a local church.  ,No,Not Applicable
14,5/27/2020,CA,90404,Male,31,1.0,0.0,1.0,Single,4,Apartment,Employed Part Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,12.0,15-30 min,3-4 times/week,5+ times/week,30+ min/1-3days/wk,4+ times/Mth,3+,Take-out food to support local businesses,No,Not Applicable
15,6/4/2020,TX,78746,Female,61,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,25.0,30-60 min,5+ times/week,5+ times/week,30+ min/1-3days/wk,4+ times/Mth,3+,Bring supplies to mother in Assisted Living; essential doctor appointments; Vet visit; take a drive to see Hill Country scenery and bluebonnets in bloom.,No,Not Applicable
16,4/22/2020,WA,98105,Male,39,4.0,2.0,1.0,Married,3,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,30.0,30-60 min,3-4 times/week,None,30+ min/1-3days/wk,4+ times/Mth,3+,Medical appointments,No,Not Applicable
17,4/23/2020,VA,22182,Female,37,3.0,1.0,1.0,Married,4,Single-Family House,Unemployed,-8,-8,Walk,NA,NA/Teleworked,45.0,15-30 min,3-4 times/week,1-2 times/week,30+ min/1-3days/wk,4+ times/Mth,None,,No,Not Applicable
18,5/12/2020,MA,2144,Female,36,2.0,0.0,0.0,Married,4,Apartment,Employed Full Time,Partial Commute/teleworked,Switched to work from home with reduced workload,Walk,NA,NA/Teleworked,40.0,60+ min,1-2 times/week,3-4 times/week,30+ min/1-3days/wk,4+ times/Mth,None,,No,Not Applicable
19,5/28/2020,KS,66047,Male,40,3.0,1.0,2.0,Married,4,Condo/Townhouse,Employed Full Time,Partial Commute/teleworked,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,15.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/1-3days/wk,4+ times/Mth,None,,Yes,Maybe
20,5/20/2020,SC,29201,Female,40,1.0,0.0,1.0,Single,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Walk,NA,NA/Teleworked,30.0,60+ min,1-2 times/week,None,30+ min/1-3days/wk,4+ times/Mth,None,,No,Not Applicable
21,4/14/2020,VA,22207,Female,28,3.0,0.0,3.0,Single,4,Multi-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,15.0,30-60 min,5+ times/week,5+ times/week,30+ min/1-3days/wk,4+ times/Mth,Once,Took cat to vet - contactless drop off and pick up ,No,Not Applicable
22,6/1/2020,TX,75218,Female,41,3.0,1.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,40.0,15-30 min,None,3-4 times/week,30+ min/1-3days/wk,4+ times/Mth,Twice,"pick up school work for kid, drive by friend's house to wave for her birthday",No,Not Applicable
23,5/26/2020,DC,20017,Female,29,2.0,0.0,1.0,Married,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Bike/Bikeshare,NA,NA/Teleworked,15.0,15-30 min,3-4 times/week,5+ times/week,30+ min/1-3days/wk,4+ times/Mth,Twice,Recreational cycling,No,No
24,5/17/2020,CA,94568,Male,36,3.0,1.0,2.0,Married,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Other,Yes,Auto/driving,60.0,15-30 min,3-4 times/week,None,30+ min/1-3days/wk,4+ times/Mth,Twice,Picking up food from relatives home,No,Not Applicable
25,5/26/2020,PA,17349,Female,49,5.0,3.0,2.0,Married,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,150.0,15-30 min,None,3-4 times/week,30+ min/1-3days/wk,None- All Online,3+,Deliver food/cookies to neighbor/community front doors.,Yes,Maybe
26,5/12/2020,CA,90720,Female,20,4.0,2.0,3.0,Single,3,Single-Family House,Employed Full Time,Commute Everyday,Switched to partial commute to work/tele-work,Auto/driving,No,NA/Teleworked,30.0,60+ min,5+ times/week,1-2 times/week,30+ min/1-3days/wk,None- All Online,None,,Yes,Yes
27,5/27/2020,MS,39759,Male,39,3.0,1.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,5.0,60+ min,None,1-2 times/week,30+ min/1-3days/wk,None- All Online,None,,Yes,Yes
28,4/15/2020,WA,98033,Female,33,2.0,2.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,Other,20.0,30-60 min,1-2 times/week,None,30+ min/1-3days/wk,None- All Online,None,,Yes,Yes
29,4/20/2020,WA,98101,Female,29,2.0,2.0,1.0,Single,3,Apartment,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,40.0,60+ min,3-4 times/week,1-2 times/week,30+ min/1-3days/wk,None- All Online,Once,I went camping with my partner - we live together.,Yes,Yes
30,4/12/2020,VA,22101,Female,39,5.0,2.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,15.0,15-30 min,3-4 times/week,3-4 times/week,30+ min/1-3days/wk,Once/Mth,None,,No,Not Applicable
31,5/26/2020,WA,98104,Male,44,4.0,2.0,2.0,Married,4,Multi-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Public Transit,NA,NA/Teleworked,30.0,30-60 min,1-2 times/week,1-2 times/week,30+ min/1-3days/wk,Once/Mth,Twice,Hiking in nature,Yes,Yes
32,5/28/2020,MD,20817,Female,50,4.0,2.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,45.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/1-3days/wk,Twice/Mth,3+,"Distance socializing - picnic, walk, bike ride with friends. ",No,Not Applicable
33,5/12/2020,CO,81301,Female,43,1.0,0.0,1.0,Single,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to partial commute to work/tele-work,Auto/driving,No,NA/Teleworked,8.0,30-60 min,1-2 times/week,5+ times/week,30+ min/1-3days/wk,Twice/Mth,3+,Work,No,Not Applicable
34,6/26/2020,MD,20878,Prefer not to answer,41,6.0,4.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,10.0,60+ min,5+ times/week,5+ times/week,30+ min/1-3days/wk,Twice/Mth,3+,"go to work, gym, store",No,Not Applicable
35,5/26/2020,TX,77845,Female,43,4.0,2.0,2.0,Married,4,Single-Family House,Employed Part Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,25.0,30-60 min,3-4 times/week,1-2 times/week,30+ min/1-3days/wk,Twice/Mth,None,,Yes,Yes
36,5/26/2020,VA,22207,Female,30,1.0,0.0,0.0,Single,4,Apartment,Employed Part Time,Commute Everyday,Did not change/still commute,Bike/Bikeshare,No,NA/Teleworked,20.0,60+ min,3-4 times/week,1-2 times/week,30+ min/1-3days/wk,Twice/Mth,None,,Yes,No
37,5/12/2020,MD,20708,Female,35,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,50.0,15-30 min,1-2 times/week,3-4 times/week,30+ min/1-3days/wk,Twice/Mth,None,,No,Not Applicable
38,5/26/2020,DE,19808,Male,63,4.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Bike/Bikeshare,NA,NA/Teleworked,30.0,60+ min,5+ times/week,3-4 times/week,30+ min/1-3days/wk,Twice/Mth,None,,Yes,No
39,5/26/2020,ME,4106,Female,58,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,10.0,15-30 min,1-2 times/week,5+ times/week,30+ min/1-3days/wk,Twice/Mth,None,,Yes,Maybe
40,5/12/2020,MI,48114,Female,75,2.0,0.0,2.0,Married,4,Single-Family House,Unemployed,-8,-8,-8,NA,NA/Teleworked,25.0,30-60 min,5+ times/week,5+ times/week,30+ min/1-3days/wk,Twice/Mth,None,,No,Not Applicable
41,5/12/2020,PA,19143,Female,33,2.0,0.0,1.0,Single,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Public Transit,NA,NA/Teleworked,60.0,60+ min,5+ times/week,None,30+ min/1-3days/wk,Twice/Mth,None,,Yes,No
42,5/28/2020,MD,21202,Female,61,3.0,0.0,2.0,Married,4,Single-Family House,Retired,-8,-8,-8,NA,NA/Teleworked,0.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/1-3days/wk,Twice/Mth,Twice,socially distance outside visits,Yes,Yes
43,4/14/2020,VA,22204,Female,26,2.0,0.0,1.0,Married,3,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,10.0,15-30 min,3-4 times/week,5+ times/week,30+ min/1-3days/wk,Twice/Mth,Twice,Curbside restaurant pick up ,No,Not Applicable
44,6/29/2020,MD,20906,Female,31,3.0,0.0,3.0,Single,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,30.0,15-30 min,1-2 times/week,1-2 times/week,30+ min/3-5days/wk,3 times/Mth,3+,"Camping, kayaking, other safe distance outdoor activities ",No,Not Applicable
45,5/16/2020,MD,21104,Male,20,5.0,0.0,2.0,Single,2,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home with reduced workload,Walk,NA,NA/Teleworked,20.0,60+ min,3-4 times/week,1-2 times/week,30+ min/3-5days/wk,3 times/Mth,3+,Go to friends house,No,Not Applicable
46,5/19/2020,NJ,8501,Female,43,2.0,0.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,45.0,15-30 min,5+ times/week,3-4 times/week,30+ min/3-5days/wk,3 times/Mth,3+,Take care of horse,No,Not Applicable
47,5/26/2020,NV,89145,Male,60,5.0,2.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Did not change/still commute,Auto/driving,No,NA/Teleworked,35.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,3 times/Mth,3+,"work, shopping",Yes,No
48,5/12/2020,DC,20010,Female,30,2.0,0.0,1.0,Married,4,Condo/Townhouse,Unemployed,-8,-8,Bike/Bikeshare,NA,NA/Teleworked,20.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,3 times/Mth,3+,I have gone back and forth to a house with land my family owns. When I drive down and back I make no stops.,Yes,Maybe
49,5/19/2020,CA,94024,Female,79,2.0,0.0,2.0,Married,4,Single-Family House,Unemployed,-8,-8,Auto/driving,No,NA/Teleworked,20.0,30-60 min,5+ times/week,1-2 times/week,30+ min/3-5days/wk,3 times/Mth,None,,No,Not Applicable
